temperature,city,pressure,date
293.95,London,1011,2024-06-17 12:20:10
295.23,Paris,1013,2024-06-17 12:20:09
296.64,Berlin,1002,2024-06-17 12:20:07
293.95,London,1011,2024-06-17 12:19:11
295.23,Paris,1013,2024-06-17 12:19:10
296.76,Berlin,1002,2024-06-17 12:19:08
293.95,London,1011,2024-06-17 12:18:10
295.23,Paris,1013,2024-06-17 12:18:09
296.76,Berlin,1002,2024-06-17 12:18:08
293.95,London,1011,2024-06-17 12:17:11
295.23,Paris,1013,2024-06-17 12:17:10
296.64,Berlin,1002,2024-06-17 12:17:09
293.95,London,1011,2024-06-17 12:16:17
295.23,Paris,1013,2024-06-17 12:16:15
296.64,Berlin,1002,2024-06-17 12:16:14
293.95,London,1011,2024-06-17 12:15:19
295.23,Paris,1013,2024-06-17 12:15:18
296.64,Berlin,1002,2024-06-17 12:15:16
293.85,London,1011,2024-06-17 12:14:22
